,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Export OF QUERY RESULTS FROM EyeOnWater
n_code,active,last_update,update_count,input_date,lat,lng,x_900913,y_900913,points,extension,date_photo,device_platform,device_model,device_uuid,viewing_angle,rain,bottom,fu_value,fu_processed,fu_observed,sd_depth,application,apk_user_n_code,user_n_code,nickname,user_points,user_photo_count,user_level,p_cloud_cover,p_temperature,p_ph,p_conductivity,p_colour,image,geom,flagged_count,wacodi_processed,fu_processed_clouds,fu_processed_old,hue_angle,hue_angle_centre,hue_angle_centre_clouds,hue_angle_centre_old,hue_angle_clouds,hue_angle_old,macrophytes,overcast_hue_best,overcast_hue_best_fu,overcast_hue_center,overcast_hue_center_fu,p_chla,p_dissolved_oxygen,p_phycocyanin,p_salinity,sunny_hue_best,sunny_hue_best_fu,sunny_hue_center,sunny_hue_center_fu,image,nickname
26575,1,6/5/2024 4:16:50 PM,1,6/5/2024 4:16:45 PM,48.8313794,9.2127877,1025562,6246298,0,png,6/5/2024 2:18:50 PM,Android,EML-L29,b6e3791601afcbc7,-199,,,7,13,0,70,australia,0,,,,,,25,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/26575.png,?,0,1,,,,59.957393983177,,,,,,,0,155.91634885184,6,0,0,0,0,,0,59.957393983177,13,http://www.eyeonwater.org/media/eyeonwater_upload/26575.png,
26574,1,6/5/2024 4:16:50 PM,1,6/5/2024 3:42:01 PM,48.476947440635,9.1849826050798,1022467,6186571,0,png,6/5/2024 1:44:06 PM,ios,"iPhone13,3",3B959F84-5300-4241-95B4-A1C089AC70C9,-199,,,16,14,0,0.37,eowcolor,0,,,,,,50,22,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26574.png,?,0,1,,,55.333948717553,56.891661973625,,,,,,52.481304716264,14,52.175796973949,14,0,0,0,0,55.333948717553,14,56.891661973625,13,http://www.eyeonwater.org/media/eyeonwater_upload/26574.png,
26573,1,6/5/2024 3:41:32 PM,1,6/5/2024 3:41:27 PM,48.4768471,9.1849676,1022465,6186555,0,png,6/5/2024 1:43:31 PM,Android,SM-A405FN,f9a529f69fa5d907,1,,,17,17,0,0,eowcolor,0,,,,,,25,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26573.png,?,0,1,,,37.814416724644,41.583893770065,,,,,,33.059210991261,18,35.642543976051,17,0,0,0,0,37.814416724644,17,41.583893770065,16,http://www.eyeonwater.org/media/eyeonwater_upload/26573.png,
26572,1,6/5/2024 3:41:32 PM,1,6/5/2024 3:40:44 PM,48.476959533316,9.185086144679,1022479,6186573,0,png,6/5/2024 1:42:50 PM,ios,"iPhone13,2",F0AB3201-5CC5-498A-940F-EF9B7C94FC99,-199,,,16,15,0,37,eowcolor,0,,,,,,25,22,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26572.png,?,0,1,,,49.729924329904,50.332695833352,,,,,,46.21026605759,15,46.893192797606,15,0,0,0,0,49.729924329904,15,50.332695833352,15,http://www.eyeonwater.org/media/eyeonwater_upload/26572.png,
26571,1,6/5/2024 3:39:48 PM,1,6/5/2024 3:39:45 PM,48.476892443674,9.1850049067844,1022470,6186562,0,png,6/5/2024 1:41:50 PM,ios,"iPhone13,2",F0AB3201-5CC5-498A-940F-EF9B7C94FC99,-199,,,16,15,0,0,eowcolor,0,,,,,,25,22,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26571.png,?,0,1,,,48.368480613122,50.345223160664,,,,,,44.851337260235,16,46.891777853498,15,0,0,0,0,48.368480613122,15,50.345223160664,15,http://www.eyeonwater.org/media/eyeonwater_upload/26571.png,
26507,1,6/1/2024 9:33:34 AM,1,6/1/2024 9:33:34 AM,48.5912026,9.3591633,1041857,6205779,0,png,6/1/2024 7:35:33 AM,Android,HRY-LX1,6d022fb9287da044,-3,1,,16,17,0,0,eowcolor,0,,,,,,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26507.png,?,0,1,,,,37.741978510014,,,,,,,0,25.679030005522,20,0,0,0,0,,0,37.741978510014,17,http://www.eyeonwater.org/media/eyeonwater_upload/26507.png,
26416,1,5/25/2024 4:38:58 PM,1,5/25/2024 4:38:56 PM,48.8300466,9.2186336,1026213,6246072,10,png,5/25/2024 2:40:47 PM,Android,EML-L29,b6e3791601afcbc7,1,,,6,21,0,70,australia,720,720,mertcan,260,21,3,25,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/26416.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/26416.png,mertcan
26227,1,5/15/2024 2:24:12 PM,1,5/15/2024 2:24:11 PM,49.0969039,9.4960229,1057092,6291319,10,png,5/15/2024 12:26:20 PM,Android,Pixel 3a,778ba90dd5718e7f,0,,,19,9,0,0.71,australia,254,254,reiner,310,26,3,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26227.png,?,0,1,,,,93.71475048121,,,,,,,0,325.49879590855,1,0,0,0,0,,0,93.71475048121,9,http://www.eyeonwater.org/media/eyeonwater_upload/26227.png,reiner
26146,1,5/10/2024 7:30:56 PM,1,5/10/2024 7:30:52 PM,48.6605144,9.1152475,1014704,6217452,0,png,5/10/2024 5:32:55 PM,Android,21091116UG,9f4d67bacf039a47,18,,1,15,7,0,0,eowcolor,0,,,,,,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26146.png,?,0,1,,,,127.80516216059,,,,,,,0,294.53026244462,1,0,0,0,0,,0,127.80516216059,7,http://www.eyeonwater.org/media/eyeonwater_upload/26146.png,
